Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
TE,Zach Miller,3100,SF@Chi 01:00PM ET,5.836,Chi
DST,Falcons ,3000,Atl@TB 01:00PM ET,6.636,Atl
DST,Chiefs ,3000,KC@Oak 04:05PM ET,9.273,KC
WR,Greg Jennings,3000,Bal@Mia 01:00PM ET,2.836,Mia
WR,Jason Avant,3000,KC@Oak 04:05PM ET,1.836,KC
TE,Vernon Davis,3000,Den@SD 04:05PM ET,5.71,SF
WR,Miles Austin,3000,Phi@NE 04:25PM ET,3.764,Phi
WR,Andre Caldwell,3000,Den@SD 04:05PM ET,2.655,Den
WR,Dwayne Bowe,3000,Cin@Cle 01:00PM ET,1.22,Cle
RB,Tyler Clutts,3000,Dal@Was 08:30PM ET,0.127,Dal
TE,Brent Celek,3000,Phi@NE 04:25PM ET,6.4,Phi
WR,Eric Weems,3000,Atl@TB 01:00PM ET,0.191,Atl
WR,Eddie Royal,3000,SF@Chi 01:00PM ET,8.167,Chi
RB,Jerome Felton,3000,Hou@Buf 01:00PM ET,0.218,Buf
WR,Jerome Simpson,3000,SF@Chi 01:00PM ET,2.133,SF
RB,Mike Tolbert,3000,Car@NO 04:25PM ET,4.691,Car
WR,Darrius Heyward-Bey,3000,Ind@Pit 08:30PM ET,4.536,Pit
WR,Seyi Ajirotutu,3000,Phi@NE 04:25PM ET,0.14,Phi
WR,Marlon Moore,3000,Cin@Cle 01:00PM ET,1.05,Cle
WR,Brandon Tate,3000,Cin@Cle 01:00PM ET,1.264,Cin
RB,Darrel Young,3000,Dal@Was 08:30PM ET,0.427,Was
RB,Antone Smith,3000,SF@Chi 01:00PM ET,0.22,Chi
RB,Donald Brown,3000,Den@SD 04:05PM ET,0.3,SD
RB,Jorvorskie Lane,3000,Atl@TB 01:00PM ET,0.3,TB
WR,Jordan Norwood,3000,Den@SD 04:05PM ET,2.971,Den
RB,Bruce Miller,3000,SF@Chi 01:00PM ET,1.664,SF
WR,Marc Mariani,3000,SF@Chi 01:00PM ET,1.336,Chi
WR,Bryan Walters,3000,Jax@Ten 01:00PM ET,7.1,Jac
WR,Andre Roberts,3000,Dal@Was 08:30PM ET,3.389,Was
WR,Riley Cooper,3000,Phi@NE 04:25PM ET,4.845,Phi
RB,Fred Jackson,3000,Sea@Min 01:00PM ET,4.536,Sea
RB,Toby Gerhart,3000,Jax@Ten 01:00PM ET,1.386,Jac
RB,C.J. Spiller,3000,Car@NO 04:25PM ET,7.24,NO
RB,Dexter McCluster,3000,Jax@Ten 01:00PM ET,8.27,Ten
RB,Fozzy Whittaker,3000,Car@NO 04:25PM ET,1.355,Car
WR,Marcus Easley,3000,Hou@Buf 01:00PM ET,1.422,Buf
RB,Stevan Ridley,3000,NYJ@NYG 01:00PM ET,0.125,NYJ
RB,Matt Asiata,3000,Sea@Min 01:00PM ET,2.973,Min
RB,Taiwan Jones,3000,KC@Oak 04:05PM ET,3.538,Oak
WR,Charles Johnson,3000,Sea@Min 01:00PM ET,2.411,Min
WR,Brian Quick,3000,Ari@StL 01:00PM ET,1.488,StL
TE,Coby Fleener,3000,Ind@Pit 08:30PM ET,8.018,Ind
WR,Jeremy Kerley,3000,NYJ@NYG 01:00PM ET,3.927,NYJ
RB,Anthony Sherman,3000,KC@Oak 04:05PM ET,0.3,KC
RB,Will Tukuafu,3000,Sea@Min 01:00PM ET,0.689,Sea
RB,Bilal Powell,3000,NYJ@NYG 01:00PM ET,8.029,NYJ
RB,Will Johnson,3000,Ind@Pit 08:30PM ET,0.936,Pit
RB,Bobby Rainey,3000,Atl@TB 01:00PM ET,0.582,TB
RB,Roy Helu,3000,KC@Oak 04:05PM ET,2.729,Oak
RB,Patrick DiMarco,3000,Atl@TB 01:00PM ET,2.455,Atl
RB,Kenjon Barner,3000,Phi@NE 04:25PM ET,1.3,Phi
WR,Brice Butler,3000,Dal@Was 08:30PM ET,3.45,Dal
RB,Zach Line,3000,Sea@Min 01:00PM ET,2.1,Min
WR,Griff Whalen,3000,Ind@Pit 08:30PM ET,3.518,Ind
WR,Brenton Bersin,3000,Car@NO 04:25PM ET,2.05,Car
RB,Derrick Coleman,3000,Sea@Min 01:00PM ET,0.144,Sea
RB,Jonathan Grimes,3000,Hou@Buf 01:00PM ET,5,Hou
WR,Jaron Brown,3000,Ari@StL 01:00PM ET,2.527,Ari
WR,Keshawn Martin,3000,Phi@NE 04:25PM ET,5.825,NE
WR,Myles White,3000,NYJ@NYG 01:00PM ET,0.986,NYG
RB,Jordan Todman,3000,Ind@Pit 08:30PM ET,0.2,Pit
WR,Jarius Wright,3000,Sea@Min 01:00PM ET,4.327,Min
RB,Brandon Bolden,3000,Phi@NE 04:25PM ET,3.72,NE
TE,Ladarius Green,3000,Den@SD 04:05PM ET,10.133,SD
WR,Russell Shepard,3000,Atl@TB 01:00PM ET,1.125,TB
WR,Mohamed Sanu,3000,Cin@Cle 01:00PM ET,6.164,Cin
TE,Vance McDonald,3000,SF@Chi 01:00PM ET,5.1,SF
RB,Tommy Bohanon,3000,NYJ@NYG 01:00PM ET,0.782,NYJ
WR,Ryan Grant,3000,Dal@Was 08:30PM ET,4.118,Was
RB,Rex Burkhead,3000,Cin@Cle 01:00PM ET,1.264,Cin
RB,Benny Cunningham,3000,Ari@StL 01:00PM ET,4.218,StL
RB,Stepfan Taylor,3000,Ari@StL 01:00PM ET,0.245,Ari
RB,Chris Thompson,3000,Dal@Was 08:30PM ET,7.61,Was
RB,Denard Robinson,3000,Jax@Ten 01:00PM ET,2.675,Jac
WR,Bennie Fowler,3000,Den@SD 04:05PM ET,2.773,Den
WR,Nick Williams,3000,Atl@TB 01:00PM ET,3.267,Atl
WR,Devin Street,3000,Dal@Was 08:30PM ET,1.773,Dal
RB,Bernard Pierce,3000,Jax@Ten 01:00PM ET,0.686,Jac
WR,Quincy Enunwa,3000,NYJ@NYG 01:00PM ET,3.786,NYJ
RB,Jay Prosch,3000,Hou@Buf 01:00PM ET,0.282,Hou
RB,Jalston Fowler,3000,Jax@Ten 01:00PM ET,1.9,Ten
WR,Kenbrell Thompkins,3000,NYJ@NYG 01:00PM ET,6.6,NYJ
RB,Orleans Darkwa,3000,NYJ@NYG 01:00PM ET,1.555,NYG
RB,Roosevelt Nix,3000,Ind@Pit 08:30PM ET,0.327,Pit
WR,Rod Streater,3000,KC@Oak 04:05PM ET,1.8,Oak
RB,Marcus Murphy,3000,Car@NO 04:25PM ET,0.455,NO
RB,Andre Williams,3000,NYJ@NYG 01:00PM ET,2.518,NYG
RB,Rod Smith,3000,Dal@Was 08:30PM ET,0.35,Dal
RB,Malcolm Johnson,3000,Cin@Cle 01:00PM ET,0.5,Cle
RB,Juwan Thompson,3000,Den@SD 04:05PM ET,0.39,Den
WR,Brandon Coleman,3000,Car@NO 04:25PM ET,3.845,NO
WR,Albert Wilson,3000,KC@Oak 04:05PM ET,5.889,KC
WR,DeAndrew White,3000,SF@Chi 01:00PM ET,0.95,SF
WR,Keith Mumphery,3000,Hou@Buf 01:00PM ET,2.445,Hou
WR,Justin Hardy,3000,Atl@TB 01:00PM ET,3.9,Atl
WR,J.J. Nelson,3000,Ari@StL 01:00PM ET,7.25,Ari
WR,Andre Holmes,3000,KC@Oak 04:05PM ET,4.273,Oak
WR,Geremy Davis,3000,NYJ@NYG 01:00PM ET,0.41,NYG
RB,Jamize Olawale,3000,KC@Oak 04:05PM ET,3.256,Oak
WR,Paul Richardson,3000,Sea@Min 01:00PM ET,5,Sea
WR,Cameron Meredith,3000,SF@Chi 01:00PM ET,2.388,Chi
RB,Jerick McKinnon,3000,Sea@Min 01:00PM ET,2.373,Min
WR,Chris Hogan,3000,Hou@Buf 01:00PM ET,7.051,Buf
WR,Corey Brown,3000,Car@NO 04:25PM ET,6.8,Car
RB,Jay Ajayi,3000,Bal@Mia 01:00PM ET,6.075,Mia
WR,Chris Conley,3000,KC@Oak 04:05PM ET,3.518,KC
WR,Quinton Patton,3000,SF@Chi 01:00PM ET,4.682,SF
RB,Tre Mason,3000,Ari@StL 01:00PM ET,4.013,StL
WR,Sammie Coates,3000,Ind@Pit 08:30PM ET,0.3,Pit
RB,Ka'Deem Carey,3000,SF@Chi 01:00PM ET,1.767,Chi
WR,Phillip Dorsett,3000,Ind@Pit 08:30PM ET,4.729,Ind
WR,Rashad Ross,3000,Dal@Was 08:30PM ET,2.325,Was
WR,Marqise Lee,3000,Jax@Ten 01:00PM ET,2.52,Jac
WR,Adam Humphries,3000,Atl@TB 01:00PM ET,4.475,TB
WR,Bruce Ellington,3000,SF@Chi 01:00PM ET,1.638,SF
WR,Tyler Lockett,3000,Sea@Min 01:00PM ET,8.382,Sea
WR,Bradley Marquez,3000,Ari@StL 01:00PM ET,1,StL
WR,Rashad Greene,3000,Jax@Ten 01:00PM ET,6.1,Jac
WR,Jeremy Butler,3000,Bal@Mia 01:00PM ET,5.767,Bal
WR,De'Anthony Thomas,3000,KC@Oak 04:05PM ET,4.54,KC
RB,Bishop Sankey,3000,Jax@Ten 01:00PM ET,4.767,Ten
WR,Cody Latimer,3000,Den@SD 04:05PM ET,1.84,Den
WR,Cordarrelle Patterson,3000,Sea@Min 01:00PM ET,0.955,Min
RB,Damien Williams,3000,Bal@Mia 01:00PM ET,2.182,Mia
RB,Cameron Artis-Payne,3000,Car@NO 04:25PM ET,0.775,Car
WR,Lucky Whitehead,3000,Dal@Was 08:30PM ET,0.86,Dal
WR,Jaelen Strong,3000,Hou@Buf 01:00PM ET,4.16,Hou
WR,Adam Thielen,3000,Sea@Min 01:00PM ET,2,Min
WR,Taylor Gabriel,3000,Cin@Cle 01:00PM ET,4.93,Cle
WR,Donteea Dye,3000,Atl@TB 01:00PM ET,2.52,TB
TE,Owen Daniels,2900,Den@SD 04:05PM ET,8.2,Den
DST,Rams ,2800,Ari@StL 01:00PM ET,8.909,StL
DST,Steelers ,2800,Ind@Pit 08:30PM ET,7.727,Pit
DST,Jets ,2700,NYJ@NYG 01:00PM ET,7.182,NYJ
DST,Jaguars ,2700,Jax@Ten 01:00PM ET,6,Jac
TE,Jared Cook,2700,Ari@StL 01:00PM ET,6.264,StL
DST,Bills ,2600,Hou@Buf 01:00PM ET,6.636,Buf
DST,Bears ,2600,SF@Chi 01:00PM ET,5.364,Chi
DST,Cowboys ,2600,Dal@Was 08:30PM ET,5.545,Dal
DST,Titans ,2600,Jax@Ten 01:00PM ET,6.727,Ten
DST,Vikings ,2600,Sea@Min 01:00PM ET,7.909,Min
DST,Ravens ,2600,Bal@Mia 01:00PM ET,7.455,Bal
TE,Lance Kendricks,2600,Ari@StL 01:00PM ET,4.71,StL
TE,Zach Ertz,2600,Phi@NE 04:25PM ET,7.74,Phi
DST,Texans ,2500,Hou@Buf 01:00PM ET,7.636,Hou
DST,Giants ,2500,NYJ@NYG 01:00PM ET,8.818,NYG
DST,Buccaneers ,2500,Atl@TB 01:00PM ET,8.182,TB
TE,Craig Stevens,2500,Jax@Ten 01:00PM ET,2.155,Ten
TE,Marcedes Lewis,2500,Jax@Ten 01:00PM ET,2.1,Jac
TE,Scott Chandler,2500,Phi@NE 04:25PM ET,5.164,NE
TE,Matt Spaeth,2500,Ind@Pit 08:30PM ET,0.375,Pit
TE,Anthony Fasano,2500,Jax@Ten 01:00PM ET,5.245,Ten
TE,Kellen Davis,2500,NYJ@NYG 01:00PM ET,0.645,NYJ
TE,Brandon Myers,2500,Atl@TB 01:00PM ET,2.245,TB
TE,Darren Fells,2500,Ari@StL 01:00PM ET,5.5,Ari
TE,Tony Moeaki,2500,Atl@TB 01:00PM ET,0.3,Atl
TE,David Johnson,2500,Den@SD 04:05PM ET,0.018,SD
TE,Clay Harbor,2500,Jax@Ten 01:00PM ET,2.63,Jac
TE,Ed Dickson,2500,Car@NO 04:25PM ET,2.909,Car
TE,Garrett Graham,2500,Hou@Buf 01:00PM ET,1.625,Hou
TE,Jim Dray,2500,Cin@Cle 01:00PM ET,0.845,Cle
TE,Virgil Green,2500,Den@SD 04:05PM ET,2.536,Den
TE,John Phillips,2500,Den@SD 04:05PM ET,1.745,SD
TE,Matthew Mulligan,2500,Hou@Buf 01:00PM ET,0.109,Buf
TE,Jermaine Gresham,2500,Ari@StL 01:00PM ET,3.336,Ari
TE,Jeff Cumberland,2500,NYJ@NYG 01:00PM ET,1.27,NYJ
TE,Michael Hoomanawanui,2500,Car@NO 04:25PM ET,2.511,NO
TE,Lee Smith,2500,KC@Oak 04:05PM ET,1.48,Oak
TE,Luke Stocker,2500,Atl@TB 01:00PM ET,0.578,TB
TE,Jordan Cameron,2500,Bal@Mia 01:00PM ET,6.109,Mia
TE,Rhett Ellison,2500,Sea@Min 01:00PM ET,2.35,Min
TE,Larry Donnell,2500,NYJ@NYG 01:00PM ET,7.913,NYG
TE,Garrett Celek,2500,SF@Chi 01:00PM ET,5.055,SF
TE,James Hanna,2500,Dal@Was 08:30PM ET,0.478,Dal
TE,Jake Stoneburner,2500,Bal@Mia 01:00PM ET,3.617,Mia
TE,Mychal Rivera,2500,KC@Oak 04:05PM ET,3.691,Oak
TE,Cory Harkey,2500,Ari@StL 01:00PM ET,0.364,StL
TE,Dwayne Allen,2500,Ind@Pit 08:30PM ET,3.122,Ind
TE,Ryan Griffin,2500,Hou@Buf 01:00PM ET,7.3,Hou
TE,Michael Williams,2500,Phi@NE 04:25PM ET,0.39,NE
TE,Chris Gragg,2500,Hou@Buf 01:00PM ET,2.3,Buf
TE,Luke Willson,2500,Sea@Min 01:00PM ET,3.32,Sea
TE,Josh Hill,2500,Car@NO 04:25PM ET,2.791,NO
TE,Jack Doyle,2500,Ind@Pit 08:30PM ET,1.927,Ind
TE,Ryan Hewitt,2500,Cin@Cle 01:00PM ET,1.127,Cin
TE,Levine Toilolo,2500,Atl@TB 01:00PM ET,1.055,Atl
TE,Gavin Escobar,2500,Dal@Was 08:30PM ET,1.764,Dal
TE,Dion Sims,2500,Bal@Mia 01:00PM ET,2.525,Mia
TE,Nic Jacobs,2500,Jax@Ten 01:00PM ET,0.16,Jac
TE,Cooper Helfet,2500,Sea@Min 01:00PM ET,0.189,Sea
TE,Trey Burton,2500,Phi@NE 04:25PM ET,0.627,Phi
TE,Blake Bell,2500,SF@Chi 01:00PM ET,1.6,SF
TE,MyCole Pruitt,2500,Sea@Min 01:00PM ET,1.082,Min
TE,Will Tye,2500,NYJ@NYG 01:00PM ET,5.325,NYG
TE,Clive Walford,2500,KC@Oak 04:05PM ET,4.191,Oak
TE,C.J. Fiedorowicz,2500,Hou@Buf 01:00PM ET,2.9,Hou
TE,Brian Parker,2500,KC@Oak 04:05PM ET,0.4,KC
TE,Tyler Kroft,2500,Cin@Cle 01:00PM ET,0.127,Cin
TE,Austin Seferian-Jenkins,2500,Atl@TB 01:00PM ET,17.95,TB
TE,Demetrius Harris,2500,KC@Oak 04:05PM ET,0.736,KC
TE,Nick Boyle,2500,Bal@Mia 01:00PM ET,3.08,Bal
TE,Troy Niklas,2500,Ari@StL 01:00PM ET,1.591,Ari
TE,Phillip Supernaw,2500,Jax@Ten 01:00PM ET,0.236,Ten
TE,Maxx Williams,2500,Bal@Mia 01:00PM ET,4.18,Bal
TE,Jesse James,2500,Ind@Pit 08:30PM ET,4.767,Pit
TE,Derek Carrier,2500,Dal@Was 08:30PM ET,3.218,Was
TE,Geoff Swaim,2500,Dal@Was 08:30PM ET,0.5,Dal
TE,Khari Lee,2500,SF@Chi 01:00PM ET,0.155,Chi
DST,Browns ,2300,Cin@Cle 01:00PM ET,6,Cle
DST,Raiders ,2300,KC@Oak 04:05PM ET,5.818,Oak
DST,Dolphins ,2300,Bal@Mia 01:00PM ET,5.909,Mia
DST,Eagles ,2300,Phi@NE 04:25PM ET,8,Phi
DST,Chargers ,2300,Den@SD 04:05PM ET,3.909,SD
DST,Redskins ,2300,Dal@Was 08:30PM ET,7.727,Was
DST,Colts ,2200,Ind@Pit 08:30PM ET,7.091,Ind
DST,49ers ,2100,SF@Chi 01:00PM ET,4,SF
DST,Saints ,2000,Car@NO 04:25PM ET,4.727,NO
